genres,Genre_1,Genre_2,imdb_rating,length,rank_in_year,rating,release_date,studio,title,year
"Crime
Comedy
Action",Crime,Comedy,6.5,120,7,PG-13,10-Jun-05,20th Century Fox,Mr. & Mrs. Smith,2005
"Comedy
Adventure
Family",Comedy,Adventure,6.7,115,8,PG,15-Jul-05,Warner Bros,Charlie and the Chocolate Factory,2005
"Adventure
Action",Adventure,Action,8.3,140,9,PG-13,15-Jun-05,Warner Bros / Legendary,Batman Begins,2005
"Romance
Comedy",Romance,Comedy,6.7,118,10,PG-13,11-Feb-05,Columbia,Hitch,2005
"Comedy
Animation
Adventure",Comedy,Animation,7.2,93,1,PG,19-May-04,DreamWorks,Shrek 2,2004
"Fantasy
Family
Adventure",Fantasy,Family,7.8,142,2,PG,4-Jun-04,Warner Bros.,Harry Potter and the Prisoner of Azkaban,2004
"Adventure
Action",Adventure,Action,7.3,127,3,PG-13,30-Jun-04,Columbia,Spider-Man 2,2004
"Animation
Adventure
Action",Animation,Adventure,8,115,4,PG,5-Nov-04,Disney / Pixar,The Incredibles,2004
Drama,Drama,,7.1,127,5,R,25-Feb-04,Icon / Newmarket,The Passion of the Christ,2004
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,6.4,124,6,PG-13,28-May-04,Fox,The Day After Tomorrow,2004
"Romance
Comedy",Romance,Comedy,6.3,115,7,PG-13,22-Dec-04,Universal / DreamWorks,Meet the Fockers,2004
Adventure,Adventure,,7.2,163,8,R,14-May-04,Warner Bros.,Troy,2004
"Comedy
Adventure
Animation",Comedy,Adventure,6,90,9,PG,1-Oct-04,DreamWorks,Shark Tale,2004
"Thriller
Crime",Thriller,Crime,6.4,125,10,PG-13,10-Dec-04,Warner Bros.,Ocean's Twelve,2004
"Fantasy
Adventure
Western",Fantasy,Adventure,8.9,201,1,PG-13,17-Dec-03,New Line,The Lord of the Rings: The Return of the King,2003
"Comedy
Animation
Adventure",Comedy,Animation,8.2,100,2,G,30-May-03,Disney / Pixar,Finding Nemo,2003
"Sci-Fi
Action",Sci-Fi,Action,7.2,138,3,R,15-May-03,Warner Bros.,The Matrix Reloaded,2003
"Fantasy
Adventure",Fantasy,Adventure,8.1,143,4,PG-13,9-Jul-03,Disney,Pirates of the Caribbean: The Curse of the Black Pearl,2003
"Fantasy
Drama
Comedy",Fantasy,Drama,6.7,101,5,PG-13,23-May-03,Universal,Bruce Almighty,2003
"History
Drama
Action",History,Drama,7.7,154,6,R,5-Dec-03,Warner Bros.,The Last Samurai,2003
"Sci-Fi
Action",Sci-Fi,Action,6.4,109,7,R,2-Jul-03,Warner Bros. / Columbia,Terminator 3: Rise of the Machines,2003
"Sci-Fi
Action",Sci-Fi,Action,6.7,129,8,R,5-Nov-03,Warner Bros.,The Matrix Revolutions,2003
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,7.5,134,9,PG-13,2-May-03,Fox,X2,2003
"Crime
Comedy
Action",Crime,Comedy,6.5,147,10,R,18-Jul-03,Columbia,Bad Boys II,2003
"Fantasy
Adventure",Fantasy,Adventure,8.7,179,1,PG-13,18-Dec-02,New Line Cinema,The Lord of the Rings: The Two Towers,2002
"Fantasy
Family
Adventure",Fantasy,Family,7.3,161,2,PG,15-Nov-02,Warner Bros.,Harry Potter and the Chamber of Secrets,2002
"Adventure
Action",Adventure,Action,7.3,121,3,PG-13,3-May-02,Columbia / Marvel,Spider-Man,2002
"Fantasy
Adventure
Action",Fantasy,Adventure,6.7,142,4,PG,16-May-02,20th Century Fox / Lucasfilm,Star Wars Episode II: Attack of the Clones,2002
"Fantasy
Comedy
Action",Fantasy,Comedy,6,88,5,PG-13,3-Jul-02,Columbia,Men in Black II,2002
"Crime
Adventure
Action",Crime,Adventure,6.1,133,6,PG-13,22-Nov-02,MGM,Die Another Day,2002
"Thriller
Sci-Fi
Drama",Thriller,Sci-Fi,6.7,106,7,PG-13,2-Aug-02,Touchstone,Signs,2002
"Comedy
Animation
Adventure",Comedy,Animation,7.6,81,8,PG,15-Mar-02,20th Century Fox / Blue Sky,Ice Age,2002
"Romance
Comedy",Romance,Comedy,6.6,95,9,PG,2-Aug-02,IFC Films,My Big Fat Greek Wedding,2002
"Sci-Fi
Mystery
Action",Sci-Fi,Mystery,7.7,145,10,PG-13,21-Jun-02,DreamWorks / 20th Century Fox,Minority Report,2002
"Thriller
Sci-Fi
Drama",Thriller,Sci-Fi,6.7,106,7,PG-13,2-Aug-02,Touchstone,Signs,2002
"Fantasy
Family
Adventure",Fantasy,Family,7.5,152,1,PG,16-Nov-01,Warner Bros.,Harry Potter and the Sorcerer's Stone,2001
"Fantasy
Adventure",Fantasy,Adventure,8.8,178,2,PG-13,19-Dec-01,New Line Cinema,The Lord of the Rings: The Fellowship of the Ring,2001
"Comedy
Animation
Adventure",Comedy,Animation,8.1,92,3,G,2-Nov-01,Disney / Pixar,"Monsters, Inc.",2001
"Comedy
Animation
Adventure",Comedy,Animation,7.9,90,4,PG,18-May-01,DreamWorks,Shrek,2001
"Thriller
Crime",Thriller,Crime,7.8,116,5,PG-13,7-Dec-01,Warner Bros,Ocean's Eleven,2001
"Romance
Drama
Action",Romance,Drama,6,183,6,PG-13,25-May-01,Touchstone,Pearl Harbor,2001
"Fantasy
Adventure
Action",Fantasy,Adventure,6.3,130,7,PG-13,4-May-01,Universal,The Mummy Returns,2001
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,5.9,92,8,PG-13,18-Jul-01,Universal,Jurassic Park III,2001
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,5.7,119,9,PG-13,27-Jul-01,20th Century Fox,Planet of the Apes,2001
"Thriller
Drama
Crime",Thriller,Drama,6.7,131,10,R,9-Feb-01,MGM / Universal,Hannibal,2001
"Thriller
Adventure
Action",Thriller,Adventure,6,123,1,PG-13,24-May-00,Paramount,Mission: Impossible II,2000
"Drama
Action",Drama,Action,8.5,155,2,R,5-May-00,DreamWorks / Universal,Gladiator,2000
"Drama
Adventure",Drama,Adventure,7.7,143,3,PG-13,22-Dec-00,Fox,Cast Away,2000
"Romance
Fantasy
Comedy",Romance,Fantasy,6.4,127,4,PG-13,15-Dec-00,Paramount,What Women Want,2000
"Family
Animation
Adventure",Family,Animation,6.4,82,5,PG,19-May-00,Disney,Dinosaur,2000
"Fantasy
Family
Comedy",Fantasy,Family,6,104,6,PG,17-Nov-00,Universal,How the Grinch Stole Christmas,2000
Comedy,Comedy,,7,108,7,PG-13,6-Oct-00,Universal / DreamWorks,Meet the Parents,2000
"Drama
Adventure
Action",Drama,Adventure,6.4,130,8,PG-13,30-Jun-00,Warner Bros.,The Perfect Storm,2000
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,7.4,104,9,PG-13,14-Jul-00,Fox,X-Men,2000
"Mystery
Horror
Drama",Mystery,Horror,6.6,130,10,PG-13,21-Jul-00,DreamWorks / Fox,What Lies Beneath,2000
"Fantasy
Adventure
Action",Fantasy,Adventure,6.6,136,1,PG,19-May-99,20th Century Fox / Lucasfilm,Star Wars Episode I: The Phantom Menace,1999
"Thriller
Mystery
Drama",Thriller,Mystery,8.2,107,2,PG-13,6-Aug-99,Hollywood Pictures,The Sixth Sense,1999
"Comedy
Animation
Adventure",Comedy,Animation,7.9,92,3,G,24-Nov-99,Walt Disney Pictures / Pixar,Toy Story 2,1999
"Sci-Fi
Action",Sci-Fi,Action,8.7,136,4,R,31-Mar-99,Warner Bros.,The Matrix,1999
"Drama
Animation
Adventure",Drama,Animation,7.2,88,5,G,18-Jun-99,Walt Disney Pictures,Tarzan,1999
